					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
42	31	29	4	2	1,069022	1,439426	2,013397	0,036798	0,10218	0,152352	0,623974	0,637325	0,657871	0	0	0
42	41	1	4	2	1,222496	3,240946	7,452543	0,017381	0,069235	0,108456	0,627509	0,642469	0,660396	0	0	0
42	41	15	4	2	1,222496	3,287378	7,452543	0,017381	0,068847	0,114679	0,627509	0,642129	0,660396	1	0,2	1
42	41	29	4	2	0,578502	2,736335	5,079983	0,043158	0,107312	0,221364	0,613243	0,646841	0,670244	0	0	0
3	1	1	4	502	34,450588	45,719097	185,273849	0,002404	0,018107	0,024494	0,520641	0,695837	0,73343	0	0	0
3	1	15	4	502	34,450588	39,061638	40,598663	0,017454	0,018206	0,020463	0,664058	0,716087	0,73343	0	0	0
3	1	29	4	502	34,450588	46,948711	185,273849	0,002404	0,017505	0,024494	0,520641	0,709711	0,73343	0	0	0
3	2	1	4	502	34,545162	73,260345	111,975525	0,009255	0,027468	0,045681	0,37268	0,621702	0,724656	0	0	0
3	2	15	4	502	34,545162	73,260345	111,975525	0,009255	0,027468	0,045681	0,341687	0,598832	0,724656	1	0,2	1
3	2	29	4	502	0	0	0	0	0	0	0,53112	0,649681	0,715503	0	0	0
3	3	1	4	502	90,813538	158,71666	233,972336	0,002136	0,00326	0,004118	0,521462	0,60458	0,730463	0	0	0
3	3	15	4	502	90,813538	160,127899	233,972336	0,002136	0,003212	0,003927	0,521462	0,575922	0,615831	0	0	0
3	3	29	4	502	20,115667	186,944611	218,386093	0,000841	0,006086	0,060907	0,354627	0,529475	0,730463	0	0	0
16	1	1	4	502	14,540957	31,276026	102,405479	0,00046	0,00376	0,009392	0,670054	0,697497	0,729516	1	0,4	1
16	1	15	4	502	19,528694	37,827042	63,60033	0,000763	0,002948	0,005286	0,678892	0,699776	0,726613	0	0,2	1
