					BDI			DI			Rand			Rand		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
36	33	1	4	2	0,640873	0,985186	1,247024	0,056116	0,297484	0,585174	0,610667	0,635844	0,659911	0	0	0
36	33	15	4	2	0,640873	0,985186	1,247024	0,056116	0,297484	0,585174	0,610667	0,635844	0,659911	0	0	0
36	33	29	4	2	0,640873	0,985186	1,247024	0,056116	0,297484	0,585174	0,610667	0,635844	0,659911	0	0	0
3	1	1	4	502	34,807095	58,972298	113,604637	0,004604	0,018822	0,042896	0,727911	0,789578	0,880533	0	0	0
3	1	15	4	502	32,606911	228,678146	901,809082	0,000958	0,0225	0,042896	0,611022	0,767853	0,880533	0	0,2	1
3	1	29	4	502	40,088306	152,595062	360,123199	0,001138	0,012967	0,031782	0,7016	0,767289	0,885422	0	0	0
3	2	1	4	502	152,039368	497,31665	842,593933	0,000858	0,002574	0,004289	0,458756	0,670267	0,777778	0	0	0
3	2	15	4	502	152,039368	446,439117	842,593933	0,000858	0,002321	0,004289	0,458756	0,680293	0,777778	0	0	0
3	2	29	4	502	47,480087	433,05426	842,593933	0,000858	0,006175	0,02778	0,333333	0,600822	0,8792	0	0,2	1
3	3	1	4	502	30,707306	30,707306	30,707306	0,037742	0,037742	0,037742	0,333333	0,575556	0,857778	0	0	0
3	3	15	4	502	30,707306	30,707306	30,707306	0,037742	0,037742	0,037742	0,333333	0,575556	0,857778	0	0	0
3	3	29	4	502	30,707306	30,707306	30,707306	0,037742	0,037742	0,037742	0,333333	0,575556	0,857778	0	0	0
14	1	1	4	502	13,907043	23,652369	31,49354	0,005855	0,018095	0,02857	0,738044	0,761578	0,807733	0	0,2	1
14	1	15	4	502	13,907043	25,299305	34,578659	0,004799	0,010497	0,02857	0,745156	0,775018	0,807733	0	0,2	1
14	1	29	4	502	17,868809	22,008671	30,450373	0,005818	0,013168	0,034638	0,724978	0,744893	0,776622	0	0,2	1
14	4	1	4	502	1,066323	7,348737	24,048838	0,017973	0,068185	0,133402	0,649778	0,698413	0,747111	0	0,2	1
14	4	15	4	502	1,066323	10,397683	22,003605	0,014367	0,050715	0,115202	0,658667	0,721338	0,783644	0	0,2	1
14	4	29	4	502	4,65958	12,77629	30,984772	0,011105	0,040422	0,106051	0,598756	0,729595	0,758489	0	0,2	1
14	7	1	4	502	9,796349	26,63645	45,382095	0,007888	0,013381	0,033228	0,598844	0,696076	0,749156	0	0,2	1
14	7	15	4	502	9,796349	15,280872	24,421745	0,022087	0,02905	0,033228	0,611467	0,724258	0,853511	1	0,2	1
14	7	29	4	502	6,95797	15,58285	21,571217	0,038168	0,056656	0,11652	0,642933	0,720129	0,748267	1	0,2	1
14	10	1	4	502	4,805359	22,136583	47,829029	0,005681	0,034165	0,152191	0,570044	0,670733	0,756978	0	0	0
14	10	15	4	502	2,150442	5,935194	11,424285	0,022723	0,091255	0,180624	0,520622	0,628338	0,660711	0	0,2	1
14	10	29	4	502	1,686856	4,281033	11,424285	0,022723	0,167969	0,50574	0,576444	0,664049	0,720356	0	0,2	1
14	13	1	4	502	2,86556	9,282351	23,771057	0,016787	0,059718	0,098276	0,545244	0,647631	0,732622	0	0,2	1
14	13	15	4	502	2,86556	5,474201	9,621571	0,040267	0,072852	0,164404	0,490578	0,682271	0,722044	0	0,2	1
14	13	29	4	502	4,922259	4,96298	5,003702	0,088871	0,126637	0,164404	0,490578	0,591742	0,731467	0	0,2	1
25	1	1	4	502	9,221926	11,876416	15,515965	0,01464	0,026758	0,05881	0,711111	0,71476	0,726044	0	0,6	1
25	1	15	4	502	9,070139	11,481592	15,215146	0,008105	0,025172	0,038952	0,710933	0,719276	0,750044	0	0,8	1
25	1	29	4	502	9,070139	12,660681	16,164244	0,005983	0,015974	0,038206	0,713689	0,724129	0,740533	1	0,8	1
25	7	1	4	502	2,085068	8,101447	21,551416	0,012128	0,050722	0,18734	0,654133	0,700813	0,737867	1	0,8	1
25	7	15	4	502	1,313203	4,851491	11,036695	0,022559	0,105885	0,193286	0,649867	0,69336	0,729867	1	0,8	1
25	7	29	4	502	1,601112	4,923958	19,039791	0,006268	0,084744	0,203254	0,644533	0,69328	0,743822	0	0,6	1
25	13	1	4	502	0,594877	5,315144	12,320641	0,018251	0,221516	0,736443	0,6008	0,668253	0,723111	1	0,8	1
25	13	15	4	502	2,115066	6,767322	18,576191	0,007369	0,054539	0,170279	0,622667	0,673191	0,717333	1	0,6	1
25	13	29	4	502	1,983888	4,393677	13,281088	0,025509	0,154868	0,311681	0,552089	0,669351	0,729778	0	0,6	1
25	19	1	4	502	2,692862	 1.#INF00	 1.#INF00	0,043179	0,088375	0,158081	0,571733	0,68128	0,815822	1	0,8	1
25	19	15	4	502	2,096114	6,771703	10,585038	0,029452	0,097716	0,217893	0,519022	0,597711	0,684622	0	0,4	1
25	19	29	4	502	1,352877	3,819692	20,617176	0,010264	0,146238	0,392901	0,570933	0,608822	0,729689	0	0,6	1
25	25	1	4	502	3,747862	3,747862	3,747862	0,1146	0,1146	0,1146	0,386578	0,521022	0,675911	1	0,6	1
25	25	15	4	502	2,827229	5,621443	7,957119	0,028787	0,066616	0,148475	0,522222	0,610622	0,728	1	0,6	1
25	25	29	4	502	2,283378	9,918893	15,061386	0,008606	0,032685	0,102113	0,513244	0,611467	0,7392	1	0,6	1
36	1	1	4	502	6,634463	7,949886	9,847689	0,015873	0,03206	0,053997	0,697867	0,702689	0,711022	2	2	2
36	1	15	4	502	6,503569	8,126945	10,614033	0,009328	0,022302	0,038442	0,696356	0,708178	0,716622	2	2,2	3
36	1	29	4	502	6,717089	8,18573	12,67756	0,010786	0,03076	0,058634	0,698311	0,704542	0,713689	2	2,2	3
36	9	1	4	502	2,106773	4,855642	11,561673	0,00941	0,066117	0,157966	0,639289	0,681938	0,709067	2	2	2
36	9	15	4	502	0,723408	3,938889	8,016573	0,022662	0,126917	0,368544	0,634844	0,676662	0,712711	1	1,8	2
36	9	29	4	502	0,698644	 1.#INF00	 1.#INF00	0,013369	0,114527	0,394416	0,6128	0,680684	0,712178	1	2	3
