3, 1, 1, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.342908, 0.000000, 0.626309, 0.000000, 0.200000, 1.000000
3, 1, 15, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.342908, 0.000000, 0.374228, 0.000000, 0.000000, 0.000000
3, 1, 29, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.342908, 0.000000, 0.374228, 0.000000, 0.000000, 0.000000
3, 2, 1, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.342908, 0.000000, 0.701387, 0.000000, 0.200000, 1.000000
3, 2, 15, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.630515, 0.000000, 0.701387, 0.000000, 0.000000, 0.000000
3, 2, 29, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.630515, 0.000000, 0.701387, 0.000000, 0.000000, 0.000000
3, 3, 1, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.342908, 0.000000, 0.701387, 0.000000, 0.200000, 1.000000
3, 3, 15, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.342908, 0.000000, 0.631767, 0.000000, 0.000000, 0.000000
3, 3, 29, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.342908, 0.000000, 0.631767, 1.000000, 0.200000, 1.000000
14, 1, 1, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.333423, 0.000000, 0.342908, 0.000000, 0.000000, 0.000000
14, 1, 15, 4, 2, 1.#QNAN0, 0.000000, 1.#QNAN0, 0.000000, 0.000000, 0.000000, 0.333423, 0.000000, 0.342908, 0.000000, 0.000000, 0.000000
