					BDI			DI			Rand			Time		
medoidy	klastry	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
48	45	15	4	2	5,268981	6,529797	8,002973	0,297455	0,297455	0,297455	0,419549	0,421679	0,427201	0	0	0
48	45	29	4	2	3,460411	5,122858	5,936667	0	0	0	0,420059	0,447901	0,466279	0	0	0
3	1	1	4	502	53,462677	322,529236	603,668518	0,001923	0,005288	0,023037	0,463422	0,506247	0,584532	0	0,2	1
3	1	15	4	502	86,282684	158,437897	187,749649	0,005747	0,008085	0,014509	0,507346	0,530698	0,542649	0	0	0
3	1	29	4	502	60,410553	152,465439	187,749649	0,005747	0,008673	0,017493	0,505102	0,528821	0,542649	1	0,2	1
3	2	1	4	502	72,126709	103,843407	154,351929	0,005001	0,009163	0,013834	0,457912	0,504477	0,526732	0	0	0
3	2	15	4	502	72,126709	103,843407	154,351929	0,005001	0,009163	0,013834	0,457912	0,504477	0,526732	0	0	0
3	2	29	4	502	67,925461	112,262268	292,675934	0,002825	0,009126	0,015195	0,455362	0,474049	0,516376	1	0,2	1
3	3	1	4	502	47,291714	95,429886	211,449753	0	0	0	0,500204	0,532739	0,585757	0	0	0
3	3	15	4	502	47,291714	95,429886	211,449753	0	0	0	0,500204	0,532739	0,585757	0	0	0
3	3	29	4	502	37,980877	87,696762	173,174438	0,047713	0,047713	0,047713	0,500204	0,524278	0,549026	1	0,2	1
18	1	1	4	502	19,860346	25,228741	29,574928	0,003338	0,006077	0,016199	0,382359	0,38943	0,396643	1	0,6	1
18	1	15	4	502	15,458256	25,70573	42,951805	0,002192	0,009034	0,020407	0,382512	0,392488	0,409652	0	0,6	1
18	1	29	4	502	18,912638	29,164032	39,237667	0,002351	0,007631	0,014551	0,382869	0,395271	0,411642	1	0,8	1
18	5	1	4	502	15,021645	27,766422	81,284073	0,013447	0,067476	0,348648	0,408479	0,431834	0,476533	1	0,6	1
18	5	15	4	502	10,996339	23,811913	57,901012	0,009272	0,02529	0,070778	0,383379	0,401722	0,416182	0	0,6	1
